case_id,dyad,month,split,total_event_count,conflict_count,military_count,threat_count,cooperation_count,diplomatic_count,avg_tone,avg_goldstein,cinc_ratio,diplomatic_score,trade_dependence,news_sentiment,recent_conflicts,us_gdp_current_usd,target_gdp_current_usd,us_military_expenditure_usd,target_military_expenditure_usd,us_trade_percent_gdp,target_trade_percent_gdp,fatalities_sum,us_actor_events,model_probability,label,future_6m_escalation_score,label_threshold,gdelt_article_count,gdelt_avg_tone,gdelt_negative_share
ACLED_CASE_00174,US-Iran,2021-08,train,19,16,7,3,1,1,-6.800000000000001,-3.7800000000000007,1.2953312358177196,-0.7263157894736842,0.341409685992271,-0.4992993662323713,0.0726042547654674,23315080560000.0,0.0,806230200000.0,5699580109.49925,25.6095576621932,42.672379536261,11.0,0,0.683610525998561,0,127.88,201.34,0,0.0,0.0
ACLED_CASE_00175,US-Iran,2021-09,train,21,18,6,3,0,0,-8.571428571428571,-4.805714285714285,1.2953312358177196,-0.9473684210526316,0.341409685992271,-0.5955500548339958,0.0736451759807429,23315080560000.0,0.0,806230200000.0,5699580109.49925,25.6095576621932,42.672379536261,17.0,0,0.707899807138392,0,120.46,201.34,0,0.0,0.0
ACLED_CASE_00176,US-Iran,2021-10,train,15,13,5,2,0,0,-10.0,-5.29,1.2953312358177196,-0.9285714285714286,0.341409685992271,-0.650803019355672,0.0746210396200637,23315080560000.0,0.0,806230200000.0,5699580109.49925,25.6095576621932,42.672379536261,8.0,0,0.6200362390980526,0,119.06,201.34,0,0.0,0.0
ACLED_CASE_00177,US-Iran,2021-11,train,13,13,2,0,0,0,-8.0,-4.47,1.2953312358177196,-0.9285714285714286,0.341409685992271,-0.5661940156845582,0.0749463274998373,23315080560000.0,0.0,806230200000.0,5699580109.49925,25.6095576621932,42.672379536261,17.0,0,0.5171875990035228,0,120.4,201.34,0,0.0,0.0
ACLED_CASE_00178,US-Iran,2021-12,train,12,11,5,1,0,0,-10.0,-5.430000000000001,1.2953312358177196,-0.9166666666666666,0.341409685992271,-0.6550586915232729,0.0752065578036562,23315080560000.0,0.0,806230200000.0,5699580109.49925,25.6095576621932,42.672379536261,16.0,0,0.5771722407324301,0,134.34,201.34,0,0.0,0.0
ACLED_CASE_00179,US-Iran,2022-01,train,18,18,3,0,0,0,-5.555555555555555,-3.397777777777778,1.283497435912692,-0.9473684210526316,0.3811614527892075,-0.4337150344664256,0.0755969032593845,25604848907611.0,0.0,860692200000.0,7459331830.84591,27.3139397355363,48.9183508223052,22.0,0,0.5903763642957153,0,151.34,201.34,0,0.0,0.0
ACLED_CASE_00180,US-Iran,2022-02,train,11,9,2,2,0,0,-6.0,-3.27,1.283497435912692,-0.9,0.3811614527892075,-0.4485587694594084,0.0765077093227506,25604848907611.0,0.0,860692200000.0,7459331830.84591,27.3139397355363,48.9183508223052,9.0,0,0.4999674901716489,0,162.76,201.34,0,0.0,0.0
ACLED_CASE_00181,US-Iran,2022-03,train,21,17,1,4,0,0,-7.777777777777778,-4.278888888888889,1.283497435912692,-0.9444444444444444,0.3811614527892075,-0.5522798201477401,0.0768329972025242,25604848907611.0,0.0,860692200000.0,7459331830.84591,27.3139397355363,48.9183508223052,11.0,0,0.6238748667241191,0,152.82000000000002,201.34,0,0.0,0.0
ACLED_CASE_00182,US-Iran,2022-04,train,15,13,4,2,0,0,-10.0,-5.39,1.283497435912692,-0.9285714285714286,0.3811614527892075,-0.6538487458556734,0.0776787456899355,25604848907611.0,0.0,860692200000.0,7459331830.84591,27.3139397355363,48.9183508223052,13.0,0,0.6015702636403123,0,190.62,201.34,0,0.0,0.0
ACLED_CASE_00183,US-Iran,2022-05,train,14,12,2,2,0,0,-10.0,-5.4,1.283497435912692,-0.9230769230769232,0.3811614527892075,-0.6541516802435887,0.078264263873528,25604848907611.0,0.0,860692200000.0,7459331830.84591,27.3139397355363,48.9183508223052,14.0,0,0.5504521611411595,1,220.32,201.34,0,0.0,0.0
